inst#,actual,predicted,error,prediction
1,35:i,35:i,,0.958
2,36:j,36:j,,0.938
3,44:r,42:p,+,0.5
4,2:B,2:B,,0.5
5,38:l,38:l,,0.778
6,7:G,7:G,,0.833
7,40:n,50:y,+,1
8,45:s,19:S,+,1
9,35:i,35:i,,0.5
10,19:S,19:S,,1
11,24:X,47:v,+,1
12,32:f,5:E,+,0.667
13,14:N,14:N,,0.833
14,19:S,45:s,+,0.875
15,19:S,7:G,+,0.5
16,11:K,25:Y,+,0.75
17,15:O,15:O,,0.75
18,13:M,23:W,+,0.667
19,2:B,41:o,+,0.5
20,44:r,11:K,+,0.8
21,29:c,29:c,,0.889
22,28:b,37:k,+,0.933
23,50:y,49:x,+,1
24,50:y,11:K,+,0.8
25,13:M,41:o,+,0.889
26,11:K,44:r,+,1
27,22:V,47:v,+,1
28,46:u,23:W,+,1
29,27:a,7:G,+,1
30,37:k,37:k,,0.933
31,39:m,5:E,+,0.5
32,29:c,29:c,,0.889
33,11:K,11:K,,0.5
34,50:y,24:X,+,0.333
35,20:T,32:f,+,1
36,5:E,5:E,,0.667
37,36:j,30:d,+,0.5
38,49:x,37:k,+,0.8
39,9:I,38:l,+,0.667
40,18:R,18:R,,0.875
41,24:X,24:X,,1
42,7:G,40:n,+,1
43,23:W,8:H,+,0.5
44,35:i,35:i,,0.958
45,32:f,38:l,+,0.667
46,20:T,20:T,,0.8
47,27:a,46:u,+,1
48,4:D,4:D,,1
49,49:x,23:W,+,0.667
50,6:F,44:r,+,1
51,42:p,42:p,,0.833
52,21:U,21:U,,0.857
53,46:u,46:u,,1
54,11:K,13:M,+,0.667
55,32:f,30:d,+,0.667
56,35:i,35:i,,0.958
57,41:o,15:O,+,1
58,35:i,35:i,,0.958
59,33:g,45:s,+,0.667
60,21:U,22:V,+,1
61,49:x,49:x,,0.75
62,10:J,2:B,+,1
63,23:W,23:W,,1
64,31:e,39:m,+,0.667
65,26:Z,51:z,+,1
66,29:c,14:N,+,0.333
67,44:r,32:f,+,0.909
68,33:g,16:P,+,0.5
69,27:a,40:n,+,1
70,6:F,32:f,+,0.333
71,13:M,13:M,,1
72,25:Y,14:N,+,1
73,10:J,6:F,+,0.5
74,29:c,24:X,+,0.5
75,39:m,19:S,+,0.333
76,3:C,3:C,,1
77,16:P,16:P,,0.833
78,39:m,14:N,+,0.333
79,14:N,14:N,,1
80,51:z,16:P,+,0.833
81,2:B,12:L,+,1
82,15:O,15:O,,1
83,14:N,14:N,,0.833
84,41:o,15:O,+,1
85,30:d,28:b,+,0.5
86,6:F,51:z,+,0.8
87,48:w,49:x,+,1
88,4:D,8:H,+,0.889
89,14:N,14:N,,1
90,41:o,17:Q,+,0.5
91,5:E,29:c,+,1
92,1:A,1:A,,1
93,7:G,7:G,,1
94,3:C,6:F,+,0.8
95,1:A,38:l,+,0.5
96,48:w,28:b,+,1
97,22:V,34:h,+,0.8
98,46:u,34:h,+,0.8
99,17:Q,15:O,+,0.75
100,1:A,17:Q,+,0.5
101,41:o,19:S,+,0.333
102,28:b,12:L,+,0.833
103,18:R,43:q,+,0.75
104,28:b,28:b,,1
105,43:q,24:X,+,1
106,26:Z,26:Z,,1
107,39:m,50:y,+,1
108,28:b,28:b,,1
109,16:P,42:p,+,0.833
110,49:x,30:d,+,0.909
111,15:O,1:A,+,1
112,34:h,28:b,+,1
113,10:J,4:D,+,1
114,26:Z,26:Z,,0.882
115,35:i,35:i,,0.958
116,10:J,27:a,+,0.5
117,15:O,1:A,+,1
118,37:k,37:k,,1
119,27:a,27:a,,0.857
120,47:v,12:L,+,0.971
121,9:I,9:I,,1
122,50:y,50:y,,0.818
123,3:C,3:C,,0.833
124,3:C,14:N,+,0.333
125,32:f,31:e,+,1
126,1:A,41:o,+,0.5
127,32:f,32:f,,0.909
128,29:c,13:M,+,0.667
129,15:O,17:Q,+,0.667
130,48:w,48:w,,0.889
