instance,predictedAs
1,8.0
2,35.0
3,43.0
4,3.0
5,8.0
6,6.0
7,28.0
8,17.0
9,34.0
10,44.0
11,46.0
12,43.0
13,13.0
14,18.0
15,9.0
16,10.0
17,14.0
18,12.0
19,1.0
20,8.0
21,28.0
22,27.0
23,48.0
24,32.0
25,38.0
26,10.0
27,46.0
28,40.0
29,45.0
30,36.0
31,12.0
32,28.0
33,10.0
34,49.0
35,19.0
36,4.0
37,35.0
38,48.0
39,37.0
40,17.0
41,23.0
42,6.0
43,46.0
44,34.0
45,37.0
46,8.0
47,26.0
48,3.0
49,48.0
50,43.0
51,41.0
52,20.0
53,20.0
54,10.0
55,49.0
56,34.0
57,30.0
58,8.0
59,32.0
60,20.0
61,23.0
62,42.0
63,22.0
64,30.0
65,50.0
66,28.0
67,31.0
68,1.0
69,26.0
70,4.0
71,12.0
72,24.0
73,19.0
74,2.0
75,38.0
76,2.0
77,15.0
78,38.0
79,13.0
80,9.0
81,18.0
82,40.0
83,12.0
84,14.0
85,29.0
86,5.0
87,47.0
88,6.0
89,13.0
90,40.0
91,4.0
92,0.0
93,6.0
94,2.0
95,37.0
96,47.0
97,23.0
98,7.0
99,16.0
100,0.0
101,14.0
102,20.0
103,17.0
104,4.0
105,42.0
106,50.0
107,38.0
108,33.0
109,15.0
110,23.0
111,3.0
112,27.0
113,9.0
114,25.0
115,34.0
116,35.0
117,14.0
118,36.0
119,26.0
120,46.0
121,8.0
122,49.0
123,2.0
124,28.0
125,31.0
126,0.0
127,31.0
128,28.0
129,14.0
130,47.0
131,40.0
132,44.0
133,10.0
134,34.0
135,35.0
136,47.0
137,12.0
138,5.0
139,25.0
140,36.0
141,46.0
142,36.0
143,14.0
144,35.0
145,28.0
146,34.0
147,23.0
148,50.0
149,17.0
150,4.0
151,34.0
152,27.0
153,37.0
154,18.0
155,11.0
156,50.0
157,16.0
158,49.0
159,36.0
160,25.0
161,11.0
162,42.0
163,2.0
164,20.0
165,26.0
166,42.0
167,49.0
168,0.0
169,9.0
170,25.0
171,48.0
172,13.0
173,28.0
174,18.0
175,0.0
176,5.0
177,45.0
178,26.0
179,26.0
180,23.0
181,12.0
182,43.0
183,50.0
184,47.0
185,18.0
186,11.0
187,41.0
188,0.0
189,12.0
190,25.0
191,20.0
192,13.0
193,19.0
194,39.0
195,7.0
196,46.0
197,20.0
198,28.0
199,16.0
200,0.0
201,39.0
202,22.0
203,46.0
204,12.0
205,2.0
206,7.0
207,36.0
208,22.0
209,40.0
210,40.0
211,16.0
212,33.0
213,15.0
214,45.0
215,50.0
216,17.0
217,13.0
218,28.0
219,14.0
220,22.0
221,32.0
222,29.0
223,33.0
224,1.0
225,11.0
226,35.0
227,7.0
228,39.0
229,18.0
230,25.0
231,24.0
232,46.0
233,44.0
234,34.0
235,0.0
236,39.0
237,44.0
238,49.0
239,36.0
240,46.0
241,29.0
242,10.0
243,8.0
244,9.0
245,48.0
246,46.0
247,22.0
248,27.0
249,48.0
250,41.0
251,27.0
252,0.0
253,49.0
254,48.0
255,27.0
256,2.0
257,11.0
258,3.0
259,8.0
260,45.0
261,18.0
262,3.0
263,5.0
264,21.0
265,18.0
266,44.0
267,14.0
268,31.0
269,10.0
270,2.0
271,16.0
272,41.0
273,45.0
274,42.0
275,35.0
276,6.0
277,30.0
278,3.0
279,29.0
280,17.0
281,49.0
282,48.0
283,40.0
284,40.0
285,35.0
286,18.0
287,33.0
288,45.0
289,49.0
290,35.0
291,16.0
292,49.0
293,11.0
294,10.0
295,42.0
296,49.0
297,24.0
298,32.0
299,4.0
300,7.0
301,24.0
302,14.0
303,23.0
304,7.0
305,24.0
306,8.0
307,4.0
308,20.0
309,46.0
310,10.0
311,22.0
312,41.0
313,19.0
314,43.0
315,31.0
316,41.0
317,25.0
318,36.0
319,21.0
320,37.0
321,21.0
322,15.0
323,18.0
324,30.0
325,19.0
326,4.0
327,1.0
328,17.0
329,26.0
330,40.0
331,36.0
332,9.0
333,30.0
334,26.0
335,24.0
336,4.0
337,6.0
338,12.0
339,19.0
340,23.0
341,37.0
342,10.0
343,24.0
344,40.0
345,12.0
346,38.0
347,0.0
348,18.0
349,3.0
350,14.0
351,47.0
352,21.0
353,41.0
354,9.0
355,3.0
356,14.0
357,8.0
358,28.0
359,25.0
360,23.0
361,2.0
362,37.0
363,40.0
364,3.0
365,15.0
366,37.0
