instance,classifiedAs
1,9
2,3
3,9
4,8
5,8
6,1
7,8
8,9
9,6
10,3
11,3
12,4
13,0
14,1
15,4
16,0
17,1
18,1
19,5
20,9
21,1
22,5
23,1
24,9
25,9
26,8
27,9
28,4
29,1
30,5
31,9
32,8
33,1
34,4
35,9
36,1
37,9
38,1
39,9
40,5
41,9
42,9
43,8
44,0
45,9
46,8
47,0
48,5
49,2
50,5
51,8
52,9
53,9
54,1
55,4
56,1
57,1
58,4
59,0
60,5
61,2
62,9
63,8
64,1
65,9
66,3
67,5
68,7
69,1
70,1
71,8
72,1
73,9
74,4
75,1
76,5
77,1
78,9
79,5
80,9
81,2
82,5
83,0
84,1
85,4
86,9
87,1
88,3
89,5
90,9
91,8
92,9
93,2
94,1
95,9
96,9
97,5
98,1
99,9
100,0
101,9
102,8
103,5
104,5
105,5
106,1
107,1
108,2
109,0
110,0
111,5
112,8
113,1
114,1
115,8
116,6
117,8
118,4
119,2
120,1
121,1
122,2
123,1
124,4
125,0
126,5
127,9
128,5
129,6
130,9
131,1
132,0
133,8
134,2
135,1
136,1
137,1
138,5
139,1
140,5
141,4
142,5
143,9
144,9
145,9
146,9
147,1
148,8
149,5
150,4
151,2
152,7
153,5
154,1
155,9
156,4
157,1
158,7
159,4
160,0
161,8
162,5
163,8
164,8
165,1
166,5
167,9
168,5
169,9
170,7
171,9
172,0
173,1
174,9
175,5
176,8
177,1
178,1
179,9
180,9
181,0
182,0
183,1
184,9
185,9
186,3
187,4
188,9
189,1
190,4
191,0
192,1
193,6
194,0
195,9
196,1
197,9
198,2
199,0
200,9
201,1
202,4
203,5
204,9
205,7
206,0
207,9
208,5
209,1
210,4
211,4
212,9
213,1
214,1
215,0
216,4
217,9
218,9
219,3
220,9
221,3
222,7
223,5
224,5
225,0
226,9
227,4
228,4
229,1
230,1
231,0
232,9
233,1
234,1
235,1
236,9
237,5
238,5
239,9
240,9
241,1
242,9
243,9
244,1
245,8
246,1
247,1
248,0
249,4
250,0
251,3
252,1
253,9
254,4
255,1
256,5
257,4
258,0
259,1
260,9
261,0
262,9
263,1
264,9
265,1
266,9
267,1
268,9
269,4
270,8
271,9
272,9
273,1
274,1
275,1
276,5
277,4
278,8
279,0
280,0
281,1
282,9
283,8
284,8
285,3
286,0
287,7
288,8
289,8
290,1
291,2
292,1
293,5
294,4
295,8
296,0
297,9
298,4
299,8
300,1
301,1
302,0
303,9
304,4
305,9
306,1
307,1
308,1
309,8
310,9
311,9
312,9
313,9
314,4
315,1
316,2
317,2
318,9
319,7
320,6
321,9
322,9
323,4
324,1
325,1
326,5
327,1
328,1
